Year,gdp_growth,gdp_per_capita,inflation_cpi,unemployment_rate,government_debt_percent_gdp,government_consumption_percent,exports_percent_gdp,imports_percent_gdp,current_account_balance_percent,gross_capital_formation_percent,fdi_inflows_percent,poverty_rate,gini_index,oil_rent_percent,natural_resource_rent_percent
2000,3.6869441668769,4776.2816763938,,13.99,,12.449784505042,29.7442196597828,18.113001893198,10.1181029223116,24.1703919915729,4.01463241741596,41.6,,20.0011569684281,20.5761295010598
1999,-5.97045814641012,4070.90619189484,,14.53,,12.3169723951295,22.9117089002201,19.1585215841037,2.15569942336792,26.5167782746872,2.99266605554676,42.8,47.7,12.8387638257711,13.269532614572
1998,0.294055160519548,3869.98258848894,,11.15,,13.4677152827186,20.920486481036,22.6789064524006,-4.85237251907378,30.6604025312076,5.50052336097173,49.0,48.0,8.57137562243914,9.06347009522954
1997,6.37100504679063,3710.82688355096,,11.16,,13.5321926576284,29.2590106069999,21.98602579954,4.34774106501336,27.6725251281193,7.22526529614492,55.6,,17.5046486685088,18.0963540802062
1996,-0.197928583722387,3112.825848106,,11.77,,4.85079327917191,35.3343058736758,20.6381219146263,12.6362265887647,16.0198316565822,3.09455717335353,,,23.0648781099677,23.8367720643582
1995,3.95160929610903,3486.98350635919,,10.24,,6.89278929824928,26.2312623568888,21.1110805844881,2.6024206362281,17.5285944745481,1.28699650133227,,47.2,14.5559545074645,15.1363210095652
1994,-2.34933212064234,2688.98325145295,,8.56,,6.99398697801035,29.8660764305307,21.5787375743098,4.34963710229607,13.6989226265485,1.37113707947231,,,15.3866042080656,16.2198265911409
1993,0.275410410462172,2824.69144366441,,6.6,,8.26862890667472,26.0872681453997,26.3029173786186,-3.31959409009165,18.1451118584251,0.619613146770744,,,14.9699327410478,15.7932181812518
1992,6.06034937385407,2907.30334439434,,7.69,,8.88702676496551,25.5014894167542,27.9746497807204,-6.2052564821256,22.9548082371391,1.04110598219712,,42.1,14.935095280643,15.7571776112482
1991,9.72990963006499,2632.53969814106,,9.45,,9.3412492938253,30.3401819659113,25.3794577895185,3.24768591983123,18.0744838175705,3.5844275474635,,,15.6286717350987,16.6639894189064
1990,6.4678522746499,2451.5523114567,,,,8.14378432307665,38.1753164731902,19.5319009099879,17.0325429309471,9.88970986648743,0.927850810708676,,,28.0600250559547,29.2548511239111
1989,-13.9197067893711,2250.08459665588,,,,9.2498482150956,33.020834091982,20.4064856017866,4.96362734913486,12.2902868916769,0.489242306971645,,43.8,20.0333515379632,20.9626504331607
1988,6.51035577626698,3191.47633742656,,,,10.188461243377,19.9546195219648,26.4174156602155,-9.64526963195207,27.0534637683317,0.147775692415861,,,9.50512761197021,10.0130859589153
1987,4.80107391677578,2610.98837126004,,,,9.8816807649396,20.2396826057801,22.0660634874595,-2.89408274592524,23.7773990158252,0.0437235522765683,,53.4,15.2245976568424,15.9166311155573
1986,6.07980818844057,3376.34960597843,,,,10.8232073789996,19.2929480837006,19.7089776193241,-3.70975512362386,20.2602969916512,0.0264392347340676,,,7.36089191172372,8.00102414924425
1985,0.867445543503692,3548.70434276284,,,,10.1085120529499,22.5496997252233,16.8908919161425,5.36911957412839,17.9032622471441,0.109738542543051,,,15.6094632774951,16.3107385078032
1984,5.22290283259414,3519.80146489308,,,,9.97721819116723,25.0604420194633,17.552229141671,7.76879122309192,16.9369298596431,0.0300662743529681,,,18.3191498331889,19.0260300794035
1983,-9.8555302269491,4078.94233103427,,,,13.7578659653278,22.6855128540545,13.0250058521405,6.55305481734437,14.1909243628052,0.127301268193272,,,16.5476906655835,17.0995109701258
1982,2.64479628533559,4201.54283466342,,,,14.1531167172501,25.0503659859648,28.0072304544268,-6.26838512984605,31.2963319005177,0.379410027878105,,,12.7185086495916,13.1086608763643
1981,-1.28832143395154,4228.0988152685,,,,14.4538371995175,30.5023701999944,24.9040349499313,6.03068637625873,27.754095256795,0.277411573307902,,55.6,24.1805766481041,24.750858904318
1980,-4.42132236441782,3874.40470623155,,,,13.3618278448944,32.6241438861373,24.7440804717527,7.99776554773585,29.9213221033749,0.0930366127591945,,,33.5669317799093,34.4312946645093
1979,0.764355145425426,3256.64908738452,,,,12.9498837472381,29.9058906213145,28.4152558282829,0.7244737336151,38.244125986223,0.182153395880368,,,35.9005908031082,36.481380981255
1978,2.34689637191248,2727.13746585327,,,,13.7946882763516,24.097775937537,37.2628061043417,-14.5868330770141,51.858807523956,0.170412871169999,,,15.4615217950232,15.8263995123574
