"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0130","............. Qatar","83.86201722","Million USD","Normal","","130","Workers' remittances received from Qatar"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0140","............. Oman","95.78868919","Million USD","Normal","","140","Workers' remittances received from Oman"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0150","......6 EU Countries","416.6351028","Million USD","Normal","","150","Workers' remittances received from ten European Countries"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0160","............. Germany","60.49471175","Million USD","Normal","","160","Workers' remittances received from Germany"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0170","............. France","48.94475501","Million USD","Normal","","170","Workers' remittances received from France"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0180","............. Netherland","8.468235961","Million USD","Normal","","180","Workers' remittances received from Netherland"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0190","............. Spain","72.39489778","Million USD","Normal","","190","Workers' remittances received from Spain"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0200","............. Italy","122.8747431","Million USD","Normal","","200","Workers' remittances received from Italy"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0210","............. Greece","47.1461127","Million USD","Normal","","210","Workers' remittances received from Greece"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0220","............. Sweden","6.569945759","Million USD","Normal","","220","Workers' remittances received from Sweden"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0230","............. Denmark","11.57586749","Million USD","Normal","","230","Workers' remittances received from Denmark"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0240","............. Ireland","21.79875459","Million USD","Normal","","240","Workers' remittances received from Ireland"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0250","............. Belgium","16.36707864","Million USD","Normal","","250","Workers' remittances received from Belgium"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0260","......7 Malaysia","12.92109087","Million USD","Normal","","260","Workers' remittances received from Malaysia"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0270","......8 Norway","10.36612246","Million USD","Normal","","270","Workers' remittances received from Norway"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0280","......9 Switzerland","5.188092999","Million USD","Normal","","280","Workers' remittances received from Switzerland"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0290","......10 Australia","85.7473284","Million USD","Normal","","290","Workers' remittances received from Australia"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0300","......11 Canada","59.65557002","Million USD","Normal","","300","Workers' remittances received from Canada"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0310","......12 Japan","4.705103141","Million USD","Normal","","310","Workers' remittances received from Japan"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0311","......13 South Africa","15.6190426","Million USD","Normal","","311","Workers' remittances received from South Africa"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0312","......14 South Korea","8.575799316","Million USD","Normal","","312","Workers' remittances received from South Korea"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0320","......15 Other Countries","84.33186384","Million USD","Normal","","320","Workers' remittances received from Other Countries"
"Country-wise Workers' Remittances","30-Nov-2025","TS_GP_BOP_WR_M.WR0340",". Total (I+II)","3188.337716","Million USD","Normal","","340","Total inflow of Workers' Remittances in Pakistan."
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0010","I. Cash Flow","3419.61361","Million USD","Normal","","10","Total Cash inflow of Workers' remittances in Pakistan in a month"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0020","......1 USA","301.4392967","Million USD","Normal","","20","Workers' remittances received from U.S.A."
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0030","......2 U.K.","498.7659339","Million USD","Normal","","30","Workers' remittances received from U.K."
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0040","......3 Saudi Arabia","837.7040991","Million USD","Normal","","40","Workers' remittances received from Saudi Arabia"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0050","......4 U.A.E.","703.2806687","Million USD","Normal","","50","Workers' remittances received from U.A.E."
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0060","............. Dubai","553.3567042","Million USD","Normal","","60","Workers' remittances received from Dubai"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0070","............. Abu Dhabi","123.1914479","Million USD","Normal","","70","Workers' remittances received from Abu Dhabi"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0080","............. Sharjah","10.74920859","Million USD","Normal","","80","Workers' remittances received from Sharjah"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0090","............. Others","15.98330802","Million USD","Normal","","90","Workers' remittances received from Other four U.A.E.'s States"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0100","......5 Other GCC Countries","345.8859774","Million USD","Normal","","100","Workers' remittances received from Other GCC Countries excluding Saudi Arabia & U.A.E."
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0110","............. Bahrain","48.27273578","Million USD","Normal","","110","Workers' remittances received from Bahrain"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0120","............. Kuwait","77.21661239","Million USD","Normal","","120","Workers' remittances received from Kuwait"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0130","............. Qatar","97.62920111","Million USD","Normal","","130","Workers' remittances received from Qatar"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0140","............. Oman","122.7674281","Million USD","Normal","","140","Workers' remittances received from Oman"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0150","......6 EU Countries","422.2796962","Million USD","Normal","","150","Workers' remittances received from ten European Countries"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0160","............. Germany","62.51850451","Million USD","Normal","","160","Workers' remittances received from Germany"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0170","............. France","50.66927059","Million USD","Normal","","170","Workers' remittances received from France"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0180","............. Netherland","8.388522723","Million USD","Normal","","180","Workers' remittances received from Netherland"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0190","............. Spain","73.33381925","Million USD","Normal","","190","Workers' remittances received from Spain"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0200","............. Italy","123.9464622","Million USD","Normal","","200","Workers' remittances received from Italy"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0210","............. Greece","47.66849473","Million USD","Normal","","210","Workers' remittances received from Greece"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0220","............. Sweden","7.383366471","Million USD","Normal","","220","Workers' remittances received from Sweden"
"Country-wise Workers' Remittances","31-Oct-2025","TS_GP_BOP_WR_M.WR0230","............. Denmark","10.38396829","Million USD","Normal","","230","Workers' remittances received from Denmark"
